Package;Class;Case;Execution;Result;TotalTime;NumInteractions;NumFallbacks
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;1;pass;7385;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;2;pass;6775;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;3;pass;6696;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;4;pass;6628;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;5;pass;6632;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;6;pass;6621;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;7;pass;6648;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;8;pass;6616;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;9;pass;6658;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;10;pass;6619;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;1;pass;7415;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;2;pass;6766;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;3;pass;6728;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;4;pass;6686;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;5;pass;6692;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;6;pass;6695;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;7;pass;6666;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;8;pass;6679;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;9;pass;6662;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;10;pass;6661;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;1;pass;7423;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;2;pass;6931;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;3;pass;6676;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;4;pass;6698;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;5;pass;6791;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;6;pass;6776;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;7;pass;6725;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;8;pass;6711;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;9;pass;6747;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;10;pass;6801;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;1;pass;7500;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;2;pass;6867;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;3;pass;6770;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;4;pass;6758;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;5;pass;6776;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;6;pass;6780;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;7;pass;6756;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;8;pass;6775;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;9;pass;6744;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;10;pass;6768;5;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;1;pass;7242;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;2;pass;6086;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;3;pass;5822;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;4;pass;5788;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;5;pass;5765;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;6;pass;5802;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;7;pass;5761;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;8;pass;5761;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;9;pass;5783;4;0
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;10;pass;5800;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;1;pass;9069;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;2;pass;7146;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;3;pass;7181;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;4;pass;7117;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;5;pass;7046;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;6;pass;7009;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;7;pass;7003;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;8;pass;7189;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;9;pass;6999;4;0
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;10;pass;7017;4;0
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;1;pass;13344;5;1
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;2;pass;13669;5;1
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;3;pass;12231;5;1
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;4;pass;11865;5;1
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;5;pass;11955;5;1
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;6;pass;11980;5;1
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;7;pass;12026;5;1
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;8;pass;12031;5;1
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;9;pass;11942;5;1
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;10;pass;12080;5;1
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;1;pass;7964;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;2;pass;7293;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;3;pass;7211;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;4;pass;7161;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;5;pass;7160;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;6;pass;7166;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;7;pass;7150;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;8;pass;7171;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;9;pass;7180;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;10;pass;7162;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;1;pass;7169;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;2;pass;7183;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;3;pass;7199;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;4;pass;7163;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;5;pass;7184;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;6;pass;7204;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;7;pass;7192;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;8;pass;7160;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;9;pass;7185;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;10;pass;7162;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;1;pass;7160;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;2;pass;7172;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;3;pass;7161;5;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;4;pass;7147;5;0
