Package;Class;Case;Execution;Result;TotalTime;NumInteractions;NumFallbacks
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;1;pass;8293;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;2;pass;7336;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;3;pass;7383;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;4;pass;7477;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;5;pass;7397;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;6;pass;7361;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;7;pass;7398;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;8;pass;7330;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;9;pass;7422;5;0
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;10;pass;7418;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;1;pass;8733;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;2;pass;7509;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;3;pass;7537;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;4;pass;7528;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;5;pass;7470;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;6;pass;7464;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;7;pass;7489;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;8;pass;7507;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;9;pass;7465;5;0
org.ligi.passandroid;TestHomeActivity;testScanIsShown;10;pass;7486;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;1;pass;8699;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;2;pass;7360;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;3;pass;7344;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;4;pass;7343;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;5;pass;7382;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;6;pass;7370;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;7;pass;7378;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;8;pass;7340;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;9;pass;7472;5;0
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;10;pass;7344;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;1;pass;8682;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;2;pass;7435;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;3;pass;7497;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;4;pass;7488;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;5;pass;7445;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;6;pass;7463;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;7;pass;7411;5;0
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;8;pass;7462;5;0
