Package;Class;Case;Execution;TotalTime;NumInteractions
it.feio.android.omninotes;TestNoteCreation;testCreateNote;1;5442;5
it.feio.android.omninotes;TestNoteCreation;testCreateNote;2;5261;5
it.feio.android.omninotes;TestNoteCreation;testCreateNote;3;5132;5
it.feio.android.omninotes;TestNoteCreation;testCreateNote;4;5016;5
it.feio.android.omninotes;TestNoteCreation;testCreateNote;5;5061;5
it.feio.android.omninotes;TestNoteCreation;testCreateNote;6;5016;5
it.feio.android.omninotes;TestNoteCreation;testCreateNote;7;5331;5
it.feio.android.omninotes;TestNoteCreation;testCreateNote;8;5034;5
it.feio.android.omninotes;TestNoteCreation;testCreateNote;9;5434;5
it.feio.android.omninotes;TestNoteCreation;testCreateNote;10;5249;5
it.feio.android.omninotes;TestNoteCreation;testDeleteNote;1;7570;8
it.feio.android.omninotes;TestNoteCreation;testDeleteNote;2;8491;8
it.feio.android.omninotes;TestNoteCreation;testDeleteNote;3;8144;8
it.feio.android.omninotes;TestNoteCreation;testDeleteNote;4;7214;8
it.feio.android.omninotes;TestNoteCreation;testDeleteNote;5;7095;8
it.feio.android.omninotes;TestNoteCreation;testDeleteNote;6;6912;8
it.feio.android.omninotes;TestNoteCreation;testDeleteNote;7;7199;8
it.feio.android.omninotes;TestNoteCreation;testDeleteNote;8;7250;8
it.feio.android.omninotes;TestNoteCreation;testDeleteNote;9;7099;8
it.feio.android.omninotes;TestNoteCreation;testDeleteNote;10;7128;8
it.feio.android.omninotes;TestNoteCreation;testRestoreFromTrash;1;13985;15
it.feio.android.omninotes;TestNoteCreation;testRestoreFromTrash;2;13860;15
it.feio.android.omninotes;TestNoteCreation;testRestoreFromTrash;3;13689;15
it.feio.android.omninotes;TestNoteCreation;testRestoreFromTrash;4;13311;15
it.feio.android.omninotes;TestNoteCreation;testRestoreFromTrash;5;13010;15
it.feio.android.omninotes;TestNoteCreation;testRestoreFromTrash;6;14014;15
it.feio.android.omninotes;TestNoteCreation;testRestoreFromTrash;7;13387;15
it.feio.android.omninotes;TestNoteCreation;testRestoreFromTrash;8;13740;15
it.feio.android.omninotes;TestNoteCreation;testRestoreFromTrash;9;13147;15
it.feio.android.omninotes;TestNoteCreation;testRestoreFromTrash;10;13227;15
it.feio.android.omninotes;TestNoteCreation;testArchiveNote;1;7690;8
it.feio.android.omninotes;TestNoteCreation;testArchiveNote;2;7755;8
it.feio.android.omninotes;TestNoteCreation;testArchiveNote;3;7707;8
it.feio.android.omninotes;TestNoteCreation;testArchiveNote;4;7567;8
it.feio.android.omninotes;TestNoteCreation;testArchiveNote;5;7472;8
it.feio.android.omninotes;TestNoteCreation;testArchiveNote;6;8159;8
it.feio.android.omninotes;TestNoteCreation;testArchiveNote;7;7671;8
it.feio.android.omninotes;TestNoteCreation;testArchiveNote;8;7623;8
it.feio.android.omninotes;TestNoteCreation;testArchiveNote;9;7882;8
it.feio.android.omninotes;TestNoteCreation;testArchiveNote;10;7574;8
it.feio.android.omninotes;TestNoteCreation;testSwipeLeftRight;1;19395;17
it.feio.android.omninotes;TestNoteCreation;testSwipeLeftRight;2;18139;17
it.feio.android.omninotes;TestNoteCreation;testSwipeLeftRight;3;18140;17
it.feio.android.omninotes;TestNoteCreation;testSwipeLeftRight;4;17825;17
it.feio.android.omninotes;TestNoteCreation;testSwipeLeftRight;5;18627;17
it.feio.android.omninotes;TestNoteCreation;testSwipeLeftRight;6;18653;17
it.feio.android.omninotes;TestNoteCreation;testSwipeLeftRight;7;18781;17
it.feio.android.omninotes;TestNoteCreation;testSwipeLeftRight;8;18300;17
it.feio.android.omninotes;TestNoteCreation;testSwipeLeftRight;9;18277;17
