Package;Class;Case;Execution;Result;TotalTime;NumInteractions
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;1;pass;7399;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;2;pass;6828;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;3;pass;6652;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;4;pass;6617;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;5;pass;6643;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;6;pass;6812;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;7;pass;6900;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;8;pass;6768;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;9;pass;6727;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;10;pass;6603;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;1;pass;7424;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;2;pass;6697;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;3;pass;6658;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;4;pass;6665;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;5;pass;6672;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;6;pass;6634;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;7;pass;6650;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;8;pass;6697;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;9;pass;6649;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;10;pass;6642;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;1;pass;7389;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;2;pass;6763;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;3;pass;6707;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;4;pass;6650;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;5;pass;6638;5
