Package;Class;Case;Execution;Result;TotalTime;NumInteractions
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;1;pass;15481;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;2;pass;15899;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;3;pass;15774;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;4;pass;15815;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;5;pass;15542;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;6;pass;15564;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;7;pass;15857;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;8;pass;15665;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;9;pass;15670;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;10;pass;15552;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;1;pass;15961;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;2;pass;13173;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;3;pass;13285;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;4;pass;13176;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;5;pass;13185;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;6;pass;13198;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;7;pass;13155;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;8;pass;13178;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;9;pass;13195;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;10;pass;13256;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;1;pass;13156;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;2;pass;13360;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;3;pass;13417;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;4;pass;13144;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;5;pass;13239;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;6;pass;13205;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;7;pass;13246;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;8;pass;13307;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;9;pass;13300;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;10;pass;13269;5
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;1;pass;10910;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;2;pass;11393;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;3;pass;11144;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;4;pass;11142;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;5;pass;10980;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;6;pass;11170;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;7;pass;11431;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;8;pass;11461;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;9;pass;10949;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;10;pass;11037;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;1;pass;14226;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;2;fail;9392;1
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;3;pass;14194;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;4;fail;9636;1
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;5;pass;14374;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;6;pass;14324;4
