package;test_class;test_case;suite;result
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;original;fail
com.fsck.k9.debug;VariousMenuTest;testSettings;original;fail
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;original;fail
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;original;pass
com.fsck.k9.debug;VariousMenuTest;testAbout;original;pass
com.fsck.k9.debug;MessageSortTest;testSortBySubject;original;fail
com.fsck.k9.debug;MessageSortTest;testSortBySender;original;fail
com.fsck.k9.debug;MessageSortTest;testSortByReadUnread;original;fail
com.fsck.k9.debug;MessageSortTest;testSortByArrival;original;fail
com.fsck.k9.debug;MessageSortTest;testSortByDate;original;fail
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesRight;original;fail
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesLeft;original;fail
com.fsck.k9.debug;MessageButtonsTest;testInsideMessageButtons;original;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStarTest;original;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;original;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectButtons;original;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkAsReadUnread;original;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkTwoAsReadUnread;original;fail
com.fsck.k9.debug;SendMessagesTest;testSendMessage;original;fail
com.fsck.k9.debug;SendMessagesTest;testDiscard;original;fail
com.fsck.k9.debug;SendMessagesTest;testSentMessage;original;fail
com.fsck.k9.debug;SendMessagesTest;testSentMessage;original;fail
com.fsck.k9.debug;SendMessagesTest;testDraftDelete;original;fail
com.fsck.k9.debug;MessageOperationsTest;testStarFromInside;original;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;original;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteFromInside;original;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteMessage;original;fail
com.fsck.k9.debug;MessageOperationsTest;testReply;original;fail
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;original;fail
com.fsck.k9.debug;MessageOperationsTest;testForward;original;fail
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;retranslated;pass
com.fsck.k9.debug;VariousMenuTest;testSettings;retranslated;pass
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;retranslated;pass
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;retranslated;pass
com.fsck.k9.debug;VariousMenuTest;testAbout;retranslated;pass
com.fsck.k9.debug;MessageSortTest;testSortBySubject;retranslated;pass
com.fsck.k9.debug;MessageSortTest;testSortBySender;retranslated;pass
com.fsck.k9.debug;MessageSortTest;testSortByReadUnread;retranslated;pass
com.fsck.k9.debug;MessageSortTest;testSortByArrival;retranslated;pass
com.fsck.k9.debug;MessageSortTest;testSortByDate;retranslated;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesRight;retranslated;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesLeft;retranslated;pass
com.fsck.k9.debug;MessageButtonsTest;testInsideMessageButtons;retranslated;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStarTest;retranslated;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;retranslated;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSelectButtons;retranslated;pass
com.fsck.k9.debug;SelectReadUnreadTest;testMarkAsReadUnread;retranslated;pass
com.fsck.k9.debug;SelectReadUnreadTest;testMarkTwoAsReadUnread;retranslated;pass
com.fsck.k9.debug;SendMessagesTest;testSendMessage;retranslated;pass
com.fsck.k9.debug;SendMessagesTest;testDiscard;retranslated;pass
com.fsck.k9.debug;SendMessagesTest;testSentMessage;retranslated;pass
com.fsck.k9.debug;SendMessagesTest;testSentMessage;retranslated;pass
com.fsck.k9.debug;SendMessagesTest;testDraftDelete;retranslated;pass
com.fsck.k9.debug;MessageOperationsTest;testStarFromInside;retranslated;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;retranslated;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteFromInside;retranslated;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteMessage;retranslated;pass
com.fsck.k9.debug;MessageOperationsTest;testReply;retranslated;fail
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;retranslated;fail
com.fsck.k9.debug;MessageOperationsTest;testForward;retranslated;fail
io.github.project_travel_mate;CityInfoTest;testAllButtonsDisplayed;original;fail
io.github.project_travel_mate;CityInfoTest;testKnowMoreContent;original;fail
io.github.project_travel_mate;CityInfoTest;testFunFactsContent;original;fail
io.github.project_travel_mate;CityInfoTest;testHangoutContent;original;fail
