Package;Class;Case;Execution;Result;TotalTime;NumInteractions
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;1;pass;8366;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;2;pass;7152;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;3;pass;7154;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;4;pass;7179;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;5;pass;7156;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;6;pass;7136;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;7;pass;7157;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;8;pass;7144;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;9;pass;7138;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;10;pass;7144;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;1;pass;8373;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;2;pass;7209;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;3;pass;7177;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;4;pass;7228;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;5;pass;7237;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;6;pass;7231;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;7;pass;7197;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;8;pass;7181;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;9;pass;7215;5
org.ligi.passandroid;TestHomeActivity;testScanIsShown;10;pass;7184;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;1;pass;8278;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;2;pass;7145;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;3;pass;7150;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;4;pass;7146;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;5;pass;7167;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;6;pass;7181;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;7;pass;7141;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;8;pass;7148;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;9;pass;7162;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;10;pass;7143;5
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;1;pass;8194;5
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;2;pass;7132;5
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;3;pass;7121;5
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;4;pass;7129;5
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;5;pass;7164;5
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;6;pass;7144;5
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;7;pass;7167;5
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;8;pass;7168;5
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;9;pass;7182;5
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;10;pass;7138;5
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;1;pass;7037;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;2;pass;5931;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;3;pass;5961;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;4;pass;5931;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;5;pass;5962;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;6;pass;5941;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;7;pass;5957;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;8;pass;5925;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;9;pass;5946;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;10;pass;5949;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;1;pass;6466;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;2;pass;5292;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;3;pass;5281;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;4;pass;5265;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;5;pass;5303;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;6;pass;5355;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;7;pass;5326;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;8;pass;5289;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;9;pass;5300;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;10;pass;5308;4
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;1;pass;8176;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;2;pass;7484;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;3;pass;7283;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;4;pass;7199;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;5;pass;7098;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;6;pass;7105;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;7;pass;7099;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;8;pass;7139;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;9;pass;7111;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;10;pass;7110;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;1;pass;8617;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;2;pass;7575;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;3;pass;7524;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;4;pass;7556;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;5;pass;7562;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;6;pass;7540;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;7;pass;7544;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;8;pass;7529;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;9;pass;7507;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;10;pass;7527;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;1;pass;13287;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;2;pass;8465;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;3;pass;8553;5
