Package;Class;Case;Execution;Result;TotalTime;NumInteractions
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;1;pass;13819;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;2;pass;13540;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;3;pass;13604;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;4;pass;13622;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;5;pass;13739;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;6;pass;13780;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;7;pass;13736;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;8;pass;13615;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;9;pass;13488;5
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;10;pass;13395;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;1;pass;13592;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;2;pass;13662;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;3;pass;13433;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;4;pass;13985;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;5;pass;13943;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;6;pass;13787;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;7;pass;13758;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;8;pass;13793;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;9;pass;14471;5
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;10;pass;13689;5
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;1;pass;12348;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;2;pass;12530;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;3;pass;13539;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;4;pass;13797;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;5;pass;13879;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;6;pass;13629;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;7;pass;13373;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;8;pass;13433;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;9;pass;14097;4
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;10;pass;13475;4
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;1;pass;13554;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;2;pass;13639;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;3;pass;13805;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;4;pass;13906;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;5;pass;13621;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;6;pass;13788;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;7;pass;13733;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;8;pass;13914;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;9;pass;14199;5
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;10;pass;13808;5
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;1;pass;13655;5
